adgroup_id,adgroup_name,campaign_name,campaign_type,parsed_model,matched_json_model,launch_kr,preorder_kr,announce_kr,source_tier,match_confidence,model_known,cost_365d,golf_flag
grp-a001-01-000000060765092,S21울트라_사생활보호,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,39242,False
grp-a001-01-000000060765094,S20울트라_사생활보호,○ 갤럭시 파워링크,WEB_SITE,galaxy_s:S9-S21,,,,,,unresolved,True,13084,False
grp-a001-01-000000060796462,아이폰14프로맥스_사생활보호,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,9532,False
grp-a001-01-000000060796463,아이폰13_사생활보호,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,15336,False
grp-a001-01-000000060796465,아이폰13프로맥스_사생활보호,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,44585,False
grp-a001-01-000000060796466,아이폰12프로맥스_사생활,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,4578,False
grp-a001-01-000000060796467,아이폰14프로_사생활보호,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,104719,False
grp-a001-01-000000060796549,아이폰14플러스_사생활보호,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_14,,,,,,unresolved,True,51586,False
grp-a001-01-000000060796550,아이폰13프로_사생활보호,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,26238,False
grp-a001-01-000000060796551,아이폰13미니_사생활보호(품절),○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_13,,,,,,unresolved,True,5870,False
grp-a001-01-000000060796552,아이폰12미니_사생활,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,980,False
grp-a001-01-000000060796704,아이폰12_사생활보호,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,9825,False
grp-a001-01-000000060796707,아이폰12프로_사생활보호,○ 아이폰 파워링크,WEB_SITE,iphone:UNKNOWN_12,,,,,,unresolved,True,38505,False
grp-a001-01-000000060809909,노트20울트라_사생활보호,○ 갤럭시 파워링크,WEB_SITE,note:노트20울트라,,,,,,unresolved,True,62917,False
grp-a001-01-000000060824084,종이질감필름_아이패드,○ 기타 파워링크,WEB_SITE,ipad:generic_gen_unknown,,,,,,unresolved,True,70129,False
grp-a001-01-000000060824882,A7_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,29556,False
grp-a001-01-000000060824932,A7라이트_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,27517,False
grp-a001-01-000000060824935,A8(2022)_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,22284,False
grp-a001-01-000000060825654,A9_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,20183,False
grp-a001-01-000000060825655,S5e_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,23507,False
grp-a001-01-000000060825656,S6라이트_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,97772,False
grp-a001-01-000000060825657,S6_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,86738,False
grp-a001-01-000000060825704,S7플러스_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,70204,False
grp-a001-01-000000060825705,S7_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,52279,False
grp-a001-01-000000060825706,S7FE_종이질감,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,68500,False
grp-a001-01-000000060841560,에어4-5세대(10.9인치)_6H BLC,○ P. 아이패드 파워링크,WEB_SITE,ipad:air5|ipad:air4,,,,,,unresolved,True,619,False
grp-a001-01-000000060841580,프로3-4-5세대(11인치)_6H BLC,○ P. 아이패드 파워링크,WEB_SITE,ipad:pro3-5,,,,,,unresolved,True,23493,False
grp-a001-01-000000060841582,7-8-9세대(10.2인치)_종이질감,○ P. 아이패드 파워링크,WEB_SITE,ipad:UNKNOWN_9,,,,,,unresolved,True,48039,False
grp-a001-01-000000060841584,프로3-4-5세대(11인치)_종이질감,○ P. 아이패드 파워링크,WEB_SITE,ipad:pro3-5,,,,,,unresolved,True,63058,False
grp-a001-01-000000060842566,에어4-5세대(10.9인치)_종이질감,○ P. 아이패드 파워링크,WEB_SITE,ipad:air5|ipad:air4,,,,,,unresolved,True,127992,False
grp-a001-01-000000060843406,S7_6H BLC,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,12938,False
grp-a001-01-000000060843407,S7플러스_6H BLC,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,10955,False
grp-a001-01-000000060843408,S7FE_6H BLC,○ 갤럭시탭 파워링크,WEB_SITE,galaxy_tab:구형,,,,,,unresolved,True,13871,False
