band,ctype,blk,pc,mob,cost,imp,clk,bcost
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,2695.0
band3,WEB_SITE,6,1,1,0,0,0,17660.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,6490.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,18080.0
band1,WEB_SITE,6,1,1,0,0,0,16040.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,2240.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,2351.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,9970.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,2708.0
band1,WEB_SITE,6,1,1,0,0,0,7250.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,670.0
band1,WEB_SITE,6,1,1,0,0,0,6850.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,1858.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,7150.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,2210.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,5176.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,2028.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,3690.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,2810.0
band1,WEB_SITE,6,1,1,0,0,0,6190.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,1860.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,840.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,3330.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,860.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,3780.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,1245.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,490.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,470.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,2800.0
excluded_cost0,WEB_SITE,6,1,1,0,0,0,0.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,500.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,500.0
excluded_cost0,WEB_SITE,6,1,1,0,0,0,0.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,3250.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,5960.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,920.0
band1,WEB_SITE,6,1,1,0,0,0,4660.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,4430.0
excluded_cost0,WEB_SITE,6,1,1,0,0,0,0.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,5070.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,11770.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,4650.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,9026.0
excluded_cost0,WEB_SITE,6,1,1,0,0,0,0.0
excluded_cost0,WEB_SITE,6,1,1,0,0,0,0.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,785.0
band3,WEB_SITE,6,1,1,0,0,0,50890.0
band3,WEB_SITE,6,1,1,0,0,0,16140.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,5490.0
band1,WEB_SITE,6,1,1,0,0,0,37510.0
band3,WEB_SITE,6,1,1,0,0,0,39162.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,12220.0
band3,WEB_SITE,6,1,1,0,0,0,61490.0
band1,WEB_SITE,6,1,1,0,0,0,12470.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,12880.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,15080.0
band3,WEB_SITE,6,1,1,0,0,0,59644.0
band4_unjudgeable,WEB_SITE,6,1,1,0,0,0,7660.0
