adgroup_id,campaign_type,avg_rank,n_days,sum_cost,sum_conv_amt,sum_ad_profit,profit_per_group_day,band,band3
grp-a001-02-000000043624094,SHOPPING,8.0928,65,592490,1188560,102168.09,1571.82,band2,≥4
grp-a001-02-000000044103604,SHOPPING,4.8796,5,26050,35800,-5126.56,-1025.31,band3,≥4
grp-a001-02-000000044108257,SHOPPING,3.9783,346,2618758,5992370,883503.84,2553.48,band1,"[2.5,4)"
grp-a001-02-000000044108615,SHOPPING,4.0428,352,1389874,3270920,521826.76,1482.46,band1,≥4
grp-a001-02-000000044108616,SHOPPING,4.3798,353,2413146,4635080,295842.9,838.08,band2,≥4
grp-a001-02-000000044299892,SHOPPING,3.5923,354,1487121,3304460,444182.33,1254.75,band1,"[2.5,4)"
grp-a001-02-000000044299955,SHOPPING,3.4044,355,614282,971210,-46654.88,-131.42,band3,"[2.5,4)"
grp-a001-02-000000044299975,SHOPPING,4.9117,355,220709,277120,-58745.24,-165.48,band3,≥4
grp-a001-02-000000044300022,SHOPPING,4.1378,355,819583,2430690,601042.37,1693.08,band1,≥4
grp-a001-02-000000044300024,SHOPPING,3.7649,355,1355663,3586630,740555.59,2086.07,band1,"[2.5,4)"
grp-a001-02-000000044300027,SHOPPING,4.4885,355,907679,2296130,434302.3,1223.39,band1,≥4
grp-a001-02-000000044300450,SHOPPING,5.2487,345,337705,489900,-51381.21,-148.93,band3,≥4
grp-a001-02-000000044300513,SHOPPING,3.7488,348,256087,330810,-62743.93,-180.3,band3,"[2.5,4)"
grp-a001-02-000000044490481,SHOPPING,3.2126,353,4374451,9868330,1393129.36,3946.54,band1,"[2.5,4)"
grp-a001-02-000000044490484,SHOPPING,2.9536,353,3008410,5761400,358860.6,1016.6,band2,"[2.5,4)"
grp-a001-02-000000044565865,SHOPPING,2.1627,2,25563,42600,-665.28,-332.64,band3,<2.5
grp-a001-02-000000044601438,SHOPPING,4.2796,327,2520924,4964570,380636.49,1164.03,band2,≥4
grp-a001-02-000000044601555,SHOPPING,4.1593,355,1559592,3667760,584043.3,1645.19,band1,≥4
